Player,Position,Years_Active,Teams,PPG,RPG,APG,MVP_Count,DPOY_Count,FMVP_Count,ROY_Count,Accolades
Pete Maravich,G,1971-1980,"Hawks, NOJ, Jazz, Celtics, NOJ,UTA",68,15,18,0,0,0,0,Hall of Fame; 5x All Star; 1976-77 Scoring Champ; 4x All-NBA; 1970-71 All-Rookie; NBA 75th Anniv. Team
Phil Ford,G,1979-1985,"KCK, Nets, Bucks, Rockets",38,7,22,0,0,0,1,1978-79 All-NBA; 1978-79 All-Rookie; 1978-79 ROY
Rajon Rondo,G,2007-2022,"Celtics, Mavs, Kings, Bulls, Pelicans, Lakers, Hawks, LAC, Cavs",35,17,25,0,0,0,0,4x All Star; 3x AST Champ; 2009-10 STL Champ; 2x NBA Champ; 2011-12 All-NBA; 2006-07 All-Rookie; 4x All-Defensive
Ralph Sampson,C-F,1984-1992,"Rockets, Warriors, Kings, Bullets",43,25,9,0,0,0,1,Hall of Fame; 4x All Star; 1984-85 All-NBA; 1983-84 All-Rookie; 1983-84 ROY; 1984-85 AS MVP
Ray Felix,C,1954-1962,"BLB, Knicks, MNL, Lakers, LAL,MNL",35,30,6,0,0,0,1,1x All Star; 1953-54 ROY
Rick Barry,F,1966-1980,"SFW, OAK, WSA, NYA, Warriors, Rockets, GSW,SFW, OAK,WSA",64,25,19,0,0,1,1,Hall of Fame; 12x All Star; 1966-67 Scoring Champ; 1974-75 STL Champ; 1975 NBA Champ; 6x All-NBA; 1965-66 All-Rookie; 1965-66 ROY; 1966-67 AS MVP; 4x All-ABA; 1974-75 Finals MVP; ABA All-Time Team; NBA 75th Anniv. Team; 1965-66 MBWA NBA ROY; 1971-72 MBWA ABA POY
Rod Strickland,G,1989-2005,"Knicks, Spurs, Blazers, Bullets, Wizards, Heat, Timberwolves, Magic, Raptors, Rockets, WAS,WSB",37,12,20,0,0,0,0,1997-98 AST Champ; 1997-98 All-NBA; 1988-89 All-Rookie
Rudy Gobert,C,2014-2026,"Jazz, Timberwolves",35,28,8,0,4,0,0,3x All Star; 2021-22 TRB Champ; 2016-17 BLK Champ; 4x All-NBA; 9x All-Defensive; 4x Def. POY
Russell Westbrook,G,2009-2026,"Thunder, Rockets, Wizards, Lakers, LAC, Nuggets, Kings",58,21,24,1,0,0,0,9x All Star; 2x Scoring Champ; 3x AST Champ; 9x All-NBA; 2008-09 All-Rookie; 2x AS MVP; 2016-17 MVP; NBA 75th Anniv. Team
Shai Gilgeous-Alexander,G,2019-2026,"LAC, Thunder",55,20,15,2,0,1,0,4x All Star; 2024-25 Scoring Champ; 2025 NBA Champ; 4x All-NBA; 2018-19 All-Rookie; 2x MVP; 2024-25 WCF MVP; 2024-25 Finals MVP
Shaquille O'Neal,C,1993-2011,"Magic, Lakers, Heat, Suns, Cavs, Celtics",61,28,10,1,0,3,1,Hall of Fame; 15x All Star; 2x Scoring Champ; 4x NBA Champ; 14x All-NBA; 1992-93 All-Rookie; 1992-93 ROY; 3x All-Defensive; 3x AS MVP; 3x Finals MVP; 1999-00 MVP; NBA 75th Anniv. Team
Sidney Moncrief,G,1980-1991,"Bucks, Hawks",43,15,12,0,2,0,0,Hall of Fame; 5x All Star; 5x All-NBA; 5x All-Defensive; 2x Def. POY
Sidney Wicks,F-C,1972-1981,"Blazers, Celtics, SDC",38,27,14,0,0,0,1,4x All Star; 1971-72 All-Rookie; 1971-72 ROY; 1971-72 MBWA NBA ROY
Slick Watts,G,1974-1979,"Sonics, NOJ, Rockets",37,12,18,0,0,0,0,1975-76 AST Champ; 1975-76 STL Champ; 1975-76 All-Defensive
Stephen Curry,G,2010-2026,Warriors,62,14,16,2,0,1,0,12x All Star; 2x Scoring Champ; 2015-16 STL Champ; 4x NBA Champ; 11x All-NBA; 2009-10 All-Rookie; 2010-11 Sportsmanship; 2x MVP; NBA 75th Anniv. Team; 2x AS MVP; 2021-22 WCF MVP; 2021-22 Finals MVP
Stephon Castle,G,2025-2026,Spurs,40,15,14,0,0,0,1,2024-25 ROY; 2024-25 All-Rookie
Steve Nash,G,1997-2014,"Suns, Mavs, Lakers",42,13,22,2,0,0,0,Hall of Fame; 8x All Star; 5x AST Champ; 7x All-NBA; 2x MVP; NBA 75th Anniv. Team
Swen Nater,C,1974-1984,"VIR, SAA, NYA, Bucks, BUF, SDC, Lakers, BUF,SDC",35,33,10,0,0,0,0,2x All Star; 1979-80 TRB Champ; 2x All-ABA; 1973-74 All-Rookie; 1973-74 ROY
Terry Cummings,F,1983-2000,"SDC, Bucks, Spurs, Sonics, 76ers, Knicks, Warriors",52,24,10,0,0,0,1,2x All Star; 2x All-NBA; 1982-83 All-Rookie; 1982-83 ROY
Terry Dischinger,F-G,1963-1973,"CHZ, Bullets, Pistons, Blazers, BAL,CHZ",39,19,8,0,0,0,1,3x All Star; 1962-63 All-Rookie; 1962-63 ROY
Tim Duncan,F-C,1998-2016,Spurs,53,27,11,2,0,3,1,Hall of Fame; 15x All Star; 5x NBA Champ; 15x All-NBA; 15x All-Defensive; 1997-98 All-Rookie; 1997-98 ROY; 3x Finals MVP; 1999-00 AS MVP; 2x MVP; NBA 75th Anniv. Team
